127.0.0.1 - - [17/Dec/2021:08:56:13 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:22 +0900] "GET /files/exam012.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:22 +0900] "GET /files/%EB%B0%98%EC%9C%BC%EB%A1%9C%20%EC%A3%BD%EC%9D%BC%EA%B1%B0%EC%95%BC.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:22 +0900] "GET /files/exam01.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:22 +0900] "GET /files/exam022.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:22 +0900] "GET /files/exam03.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:22 +0900] "GET /files/exam38.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:23 +0900] "GET /resources/header/header.jsp HTTP/1.1" 200 23603
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:23 +0900] "GET /selectNotiProc.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:23 +0900] "GET /selectPhoto.mem HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:24 +0900] "GET /toLogin.mem HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:24 +0900] "GET /member/login.jsp HTTP/1.1" 200 25270
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:24 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "POST /loginProc.mem HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /toHome.ho HTTP/1.1" 200 219781
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /profileImgUpload/exam36.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam18.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/%EC%9D%B8%EC%84%B1%EB%AC%B8%EC%A0%9C%EC%9E%88%EC%96%B42.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam05.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam011.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/dobby2.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam38.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam021.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/%EC%9D%B8%EC%84%B1%EB%AC%B8%EC%A0%9C%EC%9E%88%EC%96%B4.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/%EC%9D%B8%EC%84%B1%EB%AC%B8%EC%A0%9C%EC%9E%88%EC%96%B41.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/dobby1.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /resource/imgTmp/squid-game-6723533_960_720.webp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/profile1.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam02.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/%EB%B0%98%EC%9C%BC%EB%A1%9C%20%EC%A3%BD%EC%9D%BC%EA%B1%B0%EC%95%BC.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/profile.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/dobby.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam012.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam01.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam022.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam021.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /profileImgUpload/exam36.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam011.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam03.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam02.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /files/exam01.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /resources/header/header.jsp HTTP/1.1" 200 25434
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /selectPhoto.mem HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /profileImgUpload/exam36.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /selectNotiProc.bo HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /profileImgUpload/exam36.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:29 +0900] "GET /resources/imgTmp/trash.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:31 +0900] "GET /toInsertPost.bo HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:31 +0900] "GET /resources/header/header.jsp HTTP/1.1" 200 25434
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:31 +0900] "GET /selectNN.mem HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:31 +0900] "GET /selectNotiProc.bo HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:31 +0900] "GET /selectPhoto.mem HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:31 +0900] "GET /profileImgUpload/exam36.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:34 +0900] "GET /selectNotiProc.bo HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:34 +0900] "GET /profileImgUpload/exam36.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:37 +0900] "GET /selectNotiProc.bo HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:37 +0900] "GET /profileImgUpload/exam36.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:40 +0900] "GET /selectNotiProc.bo HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:40 +0900] "GET /profileImgUpload/exam36.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:43 +0900] "POST /insertProc.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:43 +0900] "GET /error.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:08:56:49 +0900] "GET /error.jsp HTTP/1.1" 404 -
